	M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000000003	123	439	485	480	271	290	317	278	267	303	313	244	423	376	650	443	252	449	352	777	661	333	679	490	144	405	523	666	563	705	599	187	424	1006	1885	546
ENSG00000000419	724	1111	1430	1439	1029	1309	898	1322	960	1049	1163	988	1363	1137	1447	897	657	948	1342	1263	1295	1047	1122	1230	482	1328	1407	1653	1214	1442	1379	299	823	1708	1028	1371
ENSG00000000457	377	430	447	502	447	459	395	347	343	379	507	364	504	404	440	290	291	349	392	499	462	345	419	469	162	485	573	608	404	515	474	337	320	702	514	467
ENSG00000000460	36	42	68	58	23	29	61	33	41	39	42	39	40	37	100	85	22	77	42	64	107	66	106	91	27	100	124	84	67	84	94	44	41	188	151	70
ENSG00000000938	80	286	116	377	68	55	154	36	118	190	93	77	123	155	341	303	227	183	129	353	401	114	322	365	40	199	2776	270	189	278	245	534	184	508	345	260
ENSG00000000971	1651	4012	3997	4087	2688	1717	4210	949	2218	2212	2072	1235	1690	3496	4550	6207	4046	6905	6843	9931	11276	10176	14423	7828	1660	6926	9527	10754	8894	10136	8111	1296	5465	16147	10609	8718
ENSG00000001036	270	499	681	796	386	349	406	225	389	398	461	336	406	538	825	873	340	714	765	854	1074	625	1078	917	160	719	1398	1116	812	958	961	589	427	1459	2026	883
ENSG00000001084	397	867	841	1010	553	727	456	459	550	725	641	650	584	662	731	622	568	604	657	1122	851	747	819	900	326	717	1216	871	828	1103	856	199	663	1427	1654	931
ENSG00000001167	321	647	693	634	310	376	471	316	445	508	455	460	558	479	702	690	548	777	754	909	1039	718	1147	1016	213	581	1316	1004	636	967	794	552	576	1820	1013	718
ENSG00000001460	28	159	60	143	45	68	31	36	39	61	64	40	33	65	50	88	36	18	46	153	54	80	98	80	53	87	72	97	106	135	72	162	69	71	298	88
ENSG00000001461	412	888	622	692	428	523	299	224	245	434	596	489	541	447	591	408	406	389	484	679	470	792	557	679	263	522	575	738	678	490	447	602	376	606	846	516
ENSG00000001497	688	1304	1206	1093	891	1054	1189	640	1022	902	880	834	1145	1026	1490	1134	741	1248	1000	1221	1503	884	1536	1347	432	1119	1786	1468	1048	1611	1428	2803	884	2597	1294	1297
ENSG00000001561	1421	3608	2796	3167	2073	2713	1801	2686	1657	2641	2439	2499	2372	2570	2471	1645	2145	1672	2925	1463	2277	2316	1446	2419	1369	2441	1654	3000	2662	3163	1655	36	2359	2058	1696	2702
