,M13-1,M13-7,M13-16,M13-18,M13-23,M13-25,M13-30,M13-33,M13-35,M13-40,M13-43,M13-45,M13-47,M13-49,UC179,UC21,UC397,UC264,UC220,UC51,UC222,UC13,UC30,UC99,UC95,UC338,UC100,UC54,UC56,UC384,UC43,UC98,UC50,UC129,UC77,UC357
ENSG00000000003,-2.949321388258565,-0.9707784928547563,-0.9757127139281,-1.3388446249829395,-0.9557781034045962,-1.2392288058302765,-0.9605156303069661,-1.9187227457157665,-0.972106249503487,-1.0069668474040578,-0.9961968191278897,-1.0691866654233393,-1.6465431089000624,-1.086448373724276,-1.2379240540233287,-1.0697244802319885,-1.0028659463168932,-0.9596382206597234,-1.047313971136237,-1.374720379737421,-1.06416322132183,-1.9201969914404748,-0.9707784928547563,-0.9632642214115841,-1.077011589366611,-1.0028659463168936,-1.3908472744379456,-1.008722372224878,-1.435380382874841,-0.955056532715773,-0.9984520706069965,-0.9529707616094532,-1.1692155371212527,-0.9741528858741024,-0.9784750601959405,-0.9720436558802914
ENSG00000000419,-1.2191097778168525,-0.9745881388160221,-1.0810214032645067,-1.0320498808243292,-1.0316530924628213,-0.9602319287951915,-1.5069464823376655,-2.467677258464474,-0.9583423313961081,-0.9609365420998373,-0.9791182662894812,-2.019672857869928,-0.9613099274099607,-0.9731174092375932,-1.321305840064088,-0.9562382349188923,-1.811093712331522,-0.9773636323411352,-1.397808266561649,-0.9661942070264666,-1.1156777072975539,-1.0231764512927852,-1.0450994685446426,-1.0486558844007405,-0.9531400660592079,-1.18988484132225,-1.048005425138157,-1.0931147060017983,-0.9781344032492585,-0.9754963444460756,-1.5537102815394437,-0.957217089769778,-1.0508512115184023,-1.0016732289028853,-0.9638325015245467,-1.0941553907311568
ENSG00000000457,-5.14522604020461,-0.9781998393453633,-1.762268555569546,-0.97178677984788,-4.07175010683826,-0.97598965600502,-0.9815881601116578,-1.255143400252134,-0.9766743720204376,-0.9980650998434047,-2.6482302170277174,-2.3508426838976453,-0.9819428693136045,-1.4734642930929083,-1.3397158626435766,-2.6672315170874286,-1.072627733846581,-0.9792663409818199,-0.9869002876108969,-1.652553122819312,-0.9841829515499585,-1.2009337727676157,-1.08514419791299,-0.9717273626861406,-1.0573331581186014,-0.9684185123681743,-2.3418743071410506,-1.7008947317630885,-0.9739956313111353,-0.9820921745887248,-0.9905714930000531,-0.9816242308583337,-0.9932072565790199,-0.9739868223439931,-1.1314302174261746,-0.9791928936118828
ENSG00000000460,-1.4943314574190192,-0.9719794193388586,-1.19581573477935,-0.9713305706328841,-1.972055044771515,-1.9838501233911159,-1.8596161656842907,-0.9636380682885355,-0.9628348365371787,-0.9600308873778005,-0.9678952551579435,-1.090149455527549,-1.1611360280062353,-1.0287987347240872,-1.7601427808482957,-1.557654167182505,-2.846223469314303,-0.9845993118328795,-1.1363139987340483,-1.3620317097581445,-0.9839747424792893,-0.9920417663481815,-1.0013659323858246,-0.9718895260100991,-2.139050974733208,-1.5864503577408886,-1.0301152140483734,-0.9711340475950909,-1.001699451613719,-1.1369478514130242,-1.2808294070988135,-0.9583273702959163,-0.996869055820025,-0.9762579344245431,-0.9702283635898616,-0.9948960862818966
ENSG00000000938,-1.0238144633276778,-0.9753274210436326,-1.1618114311166672,-1.0547223019830283,-0.9711474458679337,-1.5321060610513926,-2.322237997589787,-0.9749379433093098,-1.3714387854368684,-1.1346820273813885,-0.9739671347075861,-0.9745601956663329,-1.6632478065642797,-0.9711119874948416,-1.0331190881891168,-0.9756811948821428,-1.057903964535043,-1.4957052882522774,-1.256741219954408,-2.448317928768854,-0.9977764595621558,-0.9996171434633381,-1.1234570066076914,-0.9740141204822196,-0.9799389938362271,-0.978438201983695,-4.676496018108866,-0.9784885871419544,-0.9800296659164968,-0.9761497863784866,-1.1765894681570395,-0.9769086227336501,-2.5777373408803044,-1.3376583281414696,-0.9769086227336503,-0.9906592589691654
ENSG00000000971,-0.9778093887987263,-1.123349530302932,-0.9720238427925183,-1.4201811655894188,-1.9487129709168418,-1.0417334976640413,-4.407059893079391,-1.7875729381263799,-0.9848997183099124,-1.3413831482649592,-0.985178355886444,-1.4954871124801914,-0.9778450645201591,-2.5294745471125597,-2.268011503073706,-0.9875586961898264,-0.9839542810109656,-1.0750885398655552,-0.9869649188765465,-1.2377297949677013,-0.9843154188873555,-2.8557579846561376,-1.0008077660970216,-0.9924386985196959,-1.6899315523023646,-1.7032136370087525,-0.991118352825433,-0.977179991354357,-1.5076395173549897,-0.9701237057129515,-1.0502494748702147,-0.9796464087400623,-0.9813325570875536,-0.9752380397720761,-0.976142890349782,-0.9720238427925183
ENSG00000001036,-1.102918256095235,-1.215798881390221,-1.0023200111884534,-1.1634582057993301,-1.1904192096550588,-1.1754415937891856,-0.9426329895525587,-0.9776420157633938,-0.9863328568000366,-2.3417232373540715,-0.9975058080606344,-1.0788084865239338,-0.9429446615100812,-0.9775618133555973,-0.9785829855774917,-1.353914251886308,-3.739382247780115,-0.9913270381741732,-4.497715704997669,-1.0537902230835225,-0.9582611970426254,-0.9923564199628361,-1.0476451958706616,-0.9590895658715723,-2.0641740138427394,-1.080705444124686,-0.974162539308306,-1.136775806308491,-1.1293578788758503,-0.9573772676764541,-1.003213896717494,-0.9783444779673325,-2.1424199612546677,-1.9344765976337435,-0.979976391345641,-0.9350743753075983
ENSG00000001084,-0.9824040954331463,-0.9777236278370172,-1.0046422574741767,-0.960670242141263,-1.4179804479527136,-1.3144763113730562,-1.2449813903536453,-0.9740547848531932,-1.3661236616402683,-0.9562991525188307,-0.9805429619241075,-1.0954906311426855,-0.9795464710131725,-0.9746762856444482,-3.3889424216502904,-1.0862066930704313,-1.343189143689187,-1.000208704091562,-0.9958438496816528,-1.567529915901127,-1.0090074133435878,-0.9651971384724561,-1.2418511339206513,-1.0745298679313104,-1.397932807039215,-1.8137628537132546,-1.7245946932220861,-1.8316691018161237,-0.963000014006518,-0.9641387037123657,-0.9625472020985052,-0.9534092179197134,-1.1990485548679364,-0.9670141528024285,-0.9570691787052719,-1.2329679300869887
ENSG00000001167,-0.9596706549700613,-0.9659477078282344,-1.1009987971421213,-0.9811165538289905,-2.529485988736627,-0.9856542038910664,-0.9914770573876861,-1.1296670914810623,-1.0096805990880173,-1.0447383606545955,-0.965587147873198,-1.4819953821695488,-1.692777373868084,-0.9845117236722991,-0.9655915001307515,-1.1593470541134008,-0.9656079439110288,-0.9814856895504072,-1.2051855274520857,-1.4293469761702495,-1.0577225591940644,-1.3492288450232703,-0.9682221164919952,-0.9783269920870495,-0.9608889939294624,-1.533645036592992,-1.4004789084012819,-0.9680292590129536,-1.0679452884208491,-0.965796099931624,-1.301704408609952,-0.9667252853674191,-0.9597441153411008,-1.1243468122722828,-0.9941567350926348,-1.698972983467336
ENSG00000001460,-1.3384657365771415,-0.9549448563345434,-1.0340484660641223,-1.0627183905924729,-1.5760781386286435,-1.1078756522385897,-0.9486719982711163,-0.968315776507535,-1.2482378558614164,-1.053842596356075,-1.061676636675857,-1.4282130158605928,-1.0111306325688174,-1.0018462907863008,-2.901437065431488,-2.6996092691181257,-1.032811648157044,-3.1737921117086785,-1.181374166912983,-1.0018061544470322,-1.033752910616833,-0.9565857107510007,-1.305244309402549,-1.2566715296233046,-1.8002162979502399,-0.9492832669853666,-0.9624887612660558,-0.9531705561656189,-0.9615315002008764,-0.9584996786078441,-0.9699467120602883,-0.9533619856622165,-0.9631411324181327,-1.3440237665099908,-0.9598922625717969,-0.9972746077778758
