,,rank_devi,cts_devi,rank_z,cts_z,label
ENSG00000000003,M13-1,-1.3423950691223145,-4.110022,-0.9293750000000001,-2.674,0
ENSG00000000419,M13-1,-0.5857010803222656,-2.1691406,-0.33234375,-1.08,0
ENSG00000000457,M13-1,1.1816718750000001,4.596167,0.6759375,3.166,0
ENSG00000000460,M13-1,0.2856806945800781,1.7383652,0.22140625,1.471,0
ENSG00000000938,M13-1,-0.009539215087890629,0.2821808,0.02268310546875,0.1827,0
ENSG00000000971,M13-1,-0.06793130493164064,-0.025620237,0.04969482421875,0.141,0
ENSG00000001036,M13-1,-0.33776222229003905,-0.8558048,-0.2027734375,-0.5703,0
ENSG00000001084,M13-1,-0.14702276611328127,-0.64302063,-0.09495361328125,-0.4941,0
ENSG00000001167,M13-1,0.18684274291992187,0.8171131,0.09867187499999999,0.3003,0
ENSG00000001460,M13-1,-0.36445700073242193,-1.6562897,-0.12857910156250002,-1.005,0
ENSG00000001461,M13-1,1.1403822631835938,2.8402588,0.8537109374999999,1.9,0
ENSG00000001497,M13-1,0.8415838623046875,3.251163,0.5915234375,2.592,0
ENSG00000001561,M13-1,-0.18058356475830079,-0.7037201,-0.17388916015625,-0.477,0
ENSG00000001617,M13-1,0.16680770874023437,0.29281005,0.10177978515625,0.2168,0
ENSG00000001629,M13-1,0.003701396942138682,-0.54893893,-0.080859375,-0.6406,0
ENSG00000001630,M13-1,0.002427734374999997,-0.4917633,0.0400390625,-0.01552,0
ENSG00000001631,M13-1,-0.310400884719122,-1.8951439,-0.1737646484375,-1.085,0
ENSG00000002016,M13-1,-0.3024695434570312,-0.8543784,-0.35355468749999996,-0.825,0
ENSG00000002330,M13-1,-0.03356665039062498,-0.76677245,-0.13322265625,-0.7363,0
ENSG00000002549,M13-1,-0.21622808837890628,-0.8165604,-0.10101806640625001,-0.441,0
ENSG00000002587,M13-1,-0.36610296630859374,-2.3977406,-0.19145507812499998,-1.352,0
ENSG00000002746,M13-1,-0.40747093563988096,-1.8125958,-0.284296875,-1.189,0
ENSG00000002822,M13-1,0.05673533439636231,-0.15263444,0.034208984375,0.1506,0
ENSG00000002834,M13-1,0.5391232299804687,4.1523924,0.3053125,2.75,0
ENSG00000002919,M13-1,-0.04878292083740235,-0.13404998,-0.0269110107421875,0.06964,0
ENSG00000002933,M13-1,0.4992811889648438,0.87909395,0.5066796875,1.014,0
ENSG00000003056,M13-1,0.17995092773437502,0.48478317,0.12167968750000001,0.2795,0
ENSG00000003096,M13-1,-0.5375043029785157,-1.8441651,-0.43861328125000004,-1.232,0
ENSG00000003137,M13-1,0.20085305786132812,0.22431985,0.24714843749999998,0.1556,0
ENSG00000003147,M13-1,-0.1676304931640625,-1.1927865,-0.10944091796875001,-0.792,0
ENSG00000003249,M13-1,0.3187540283203125,0.2086895,0.25224609375,0.2444,0
ENSG00000003393,M13-1,0.18146966552734375,0.5187195,0.00586761474609375,0.0399,0
ENSG00000003400,M13-1,0.6219527893066407,2.123816,0.44625000000000004,1.619,0
ENSG00000003402,M13-1,0.13909613037109375,1.5717713,0.02126953125,1.06,0
ENSG00000003436,M13-1,-0.49610791015625,-1.1648438,-0.4494140625,-0.7524,0
ENSG00000003509,M13-1,-0.006016204833984365,-0.055087656,-0.07816406249999999,-0.2878,0
ENSG00000003756,M13-1,-0.5561377563476563,-2.2491293,-0.3662109375,-1.61,0
ENSG00000003987,M13-1,-0.38625636291503906,-2.107736,-0.22229492187500002,-1.335,0
ENSG00000003989,M13-1,-0.3934951171875,-2.3955383,-0.13341796875,-1.098,0
ENSG00000004059,M13-1,-0.12320038604736328,-0.43764648,-0.059912109374999994,-0.2177,0
ENSG00000004139,M13-1,-0.24832720947265627,-1.9653076,-0.18238281250000002,-1.351,0
ENSG00000004142,M13-1,-0.1242017822265625,-1.4850098,-0.0390625,-0.816,0
ENSG00000004399,M13-1,0.9601492309570312,4.3362794,0.4876171875,2.941,0
ENSG00000004455,M13-1,-0.4205924072265625,-2.0156403,-0.1623046875,-1.13,0
ENSG00000004468,M13-1,-0.6565927295684814,-1.4091046,-0.5097167968749999,-0.6484,0
ENSG00000004478,M13-1,-0.28510015869140626,-1.085118,-0.22234375,-0.702,0
ENSG00000004487,M13-1,-0.10880331420898438,-0.37544233,-0.069697265625,-0.32,0
ENSG00000004534,M13-1,-0.3927504577636719,-0.9797034,-0.2596875,-0.616,0
ENSG00000004660,M13-1,0.13215585327148438,0.09994201,0.1105029296875,0.05573,0
ENSG00000004700,M13-1,0.34200830078125,1.1569611,0.1365234375,0.56,0
ENSG00000004766,M13-1,0.6252027587890625,2.6190112,0.358203125,1.781,0
ENSG00000004776,M13-1,0.25993701171875,1.9187012,0.09984375,1.246,0
ENSG00000004777,M13-1,-0.3743885498046875,-1.654727,-0.160986328125,-0.784,0
ENSG00000004779,M13-1,-0.4687477416992188,-1.5556275,-0.3325,-1.093,0
ENSG00000004799,M13-1,0.2299032440185547,0.17541046,0.12285156250000001,0.01619,0
ENSG00000004838,M13-1,-0.3034755859375,-3.6297393,-0.16259765625,-2.209,0
ENSG00000004848,M13-1,-0.9731251017252605,-2.405194,-0.79931640625,-1.516,0
ENSG00000004864,M13-1,-0.2860818786621094,-1.7627494,-0.20541015625,-1.002,0
ENSG00000004866,M13-1,-0.30576582336425784,-0.8507263,-0.2060107421875,-0.503,0
ENSG00000004897,M13-1,-0.04831781005859377,-0.6322567,-0.07806640625000001,-0.4077,0
ENSG00000004948,M13-1,-0.10851333618164063,-0.6934875,0.0038932800292968747,-0.2393,0
ENSG00000004961,M13-1,-0.08871820068359376,-0.64150697,-0.033618164062500004,-0.4407,0
ENSG00000004975,M13-1,-0.0311851806640625,-0.1894409,0.05988525390625,0.2844,0
ENSG00000005007,M13-1,0.21823244285583496,1.572936,0.1374609375,1.011,0
ENSG00000005020,M13-1,-0.416059326171875,-1.0877991,-0.340576171875,-0.7705,0
ENSG00000005022,M13-1,0.5927682037353516,1.260363,0.37734375,0.937,0
ENSG00000005059,M13-1,-0.86065673828125,-4.1647463,-0.568125,-2.564,0
ENSG00000005073,M13-1,1.4388878784179688,3.652436,1.181640625,2.584,0
ENSG00000005075,M13-1,-0.06777961921691895,-0.3010072,-0.068935546875,-0.2693,0
ENSG00000005100,M13-1,0.12697093200683593,0.6861908,0.0877587890625,0.4995,0
ENSG00000005102,M13-1,1.0397319793701172,1.9680573,0.891171875,1.349,0
ENSG00000005108,M13-1,-0.4564404296875,-1.6486328,-0.35900390625,-1.176,0
ENSG00000005156,M13-1,0.08521836471557617,0.45489883,0.05120849609375,0.2551,0
ENSG00000005175,M13-1,-0.3402708740234375,-1.7031372,-0.149091796875,-0.9155,0
ENSG00000005187,M13-1,0.39329721832275394,2.0650666,0.23270507812500002,1.563,0
ENSG00000005189,M13-1,0.34161924743652344,1.6024673,0.19003906250000002,1.199,0
ENSG00000005194,M13-1,0.0779761962890625,0.58717346,0.028896484375,0.275,0
ENSG00000005206,M13-1,-0.4059139709472656,-1.7837006,-0.240087890625,-0.929,0
ENSG00000005238,M13-1,-0.460455322265625,-1.4544213,-0.39181640625,-1.181,0
ENSG00000005243,M13-1,-0.23789453887939452,-0.78156126,-0.2205908203125,-0.7427,0
ENSG00000005249,M13-1,0.4230716247558594,0.4778656,0.4341796875,0.4097,0
ENSG00000005302,M13-1,0.038902252197265626,-0.40562004,0.04376953125,-0.1747,0
ENSG00000005339,M13-1,-0.2147165069580078,0.03042297,-0.091259765625,0.11426,0
ENSG00000005379,M13-1,-0.6368118896484375,-1.5710083,-0.44601562499999997,-1.003,0
ENSG00000005381,M13-1,0.48838293457031245,2.1959977,0.285234375,1.672,0
ENSG00000005436,M13-1,-0.058362759590148916,-0.38981932,-0.10482055664062499,-0.303,0
ENSG00000005448,M13-1,-0.13751153564453125,-0.9655792,-0.039697265625,-0.6025,0
ENSG00000005469,M13-1,-0.09834906005859376,-0.2200571,-0.07451416015625001,-0.2196,0
ENSG00000005471,M13-1,0.6772792205810547,1.585038,0.466962890625,1.127,0
ENSG00000005483,M13-1,-0.20024450683593747,-0.54788816,-0.01276611328125,-0.0234,0
ENSG00000005486,M13-1,0.06247300529479981,0.22312088,-0.0190283203125,0.04727,0
ENSG00000005513,M13-1,-0.4994447021484375,-1.8243103,-0.30884765625,-1.0625,0
ENSG00000005700,M13-1,0.22428363037109375,1.334143,0.144052734375,0.9062,0
ENSG00000005801,M13-1,0.3189654188156128,1.0819664,0.099609375,0.4297,0
ENSG00000005810,M13-1,0.3646746826171875,2.3115036,0.21625,1.58,0
ENSG00000005812,M13-1,-0.4996137962341309,-2.4426131,-0.3534375,-1.411,0
ENSG00000005844,M13-1,0.2814289855957031,0.8331299,0.24697265624999998,0.8335,0
ENSG00000005882,M13-1,0.26992068481445314,1.4660953,0.20566406250000002,1.191,0
ENSG00000005884,M13-1,-0.6434994506835938,-2.1094055,-0.49140625000000004,-1.352,0
ENSG00000005889,M13-1,-0.34673209381103515,-0.8865986,-0.317509765625,-0.671,0
ENSG00000005893,M13-1,0.11947688293457032,0.20333214,0.0413330078125,0.3125,0
ENSG00000005961,M13-1,-0.2007246370315552,-1.3527199,-0.092275390625,-1.055,0
ENSG00000005981,M13-1,-0.03214804077148438,-0.44039458,0.0644732666015625,-0.131,0
ENSG00000006007,M13-1,0.2979754028320313,1.0465713,0.053723144531249996,0.4714,0
ENSG00000006015,M13-1,-0.7019886474609376,-2.1041198,-0.548046875,-1.245,0
ENSG00000006016,M13-1,-0.4861448364257812,-1.4476788,-0.39842285156249996,-0.783,0
ENSG00000006025,M13-1,-0.21279679489135742,-0.5797394,-0.1775537109375,-0.264,0
ENSG00000006042,M13-1,-0.6553730468750001,-2.1801758,-0.5334960937500001,-1.146,0
ENSG00000006047,M13-1,0.008292114257812495,-0.49752197,0.0194183349609375,-0.2903,0
ENSG00000006062,M13-1,-0.5081328353881837,-1.0387657,-0.418857421875,-0.6797,0
ENSG00000006071,M13-1,0.2958882446289062,0.75806886,0.275390625,0.699,0
ENSG00000006118,M13-1,-0.12778761291503904,-0.0488884,-0.14811279296875,-0.1881,0
ENSG00000006125,M13-1,0.10211218261718749,1.5732574,0.043388671875,1.209,0
ENSG00000006194,M13-1,0.2316801280975342,0.58985364,0.18375,0.586,0
ENSG00000006210,M13-1,1.412653381347656,2.0778198,1.1951953124999999,1.317,0
ENSG00000006282,M13-1,-1.1771607666015624,-1.5735972,-0.993583984375,-1.28,0
ENSG00000006283,M13-1,0.22847766113281248,0.65878296,0.128759765625,0.532,0
ENSG00000006327,M13-1,0.128687744140625,0.15360412,0.14202880859375,0.08105,0
ENSG00000006432,M13-1,0.38157575607299804,1.4336522,0.202490234375,0.901,0
ENSG00000006451,M13-1,-0.08077175903320313,-0.43144074,-0.009707031250000001,-0.2277,0
ENSG00000006453,M13-1,-0.37607061767578126,-1.9838715,-0.29162109375,-1.231,0
ENSG00000006459,M13-1,0.4961207504272461,1.5942414,0.384375,1.192,0
ENSG00000006468,M13-1,-0.2744557723999024,-1.2385514,-0.18667968750000002,-0.873,0
ENSG00000006530,M13-1,0.39737905883789065,1.4522003,0.262548828125,1.334,0
ENSG00000006534,M13-1,-0.11152560424804688,-0.76590574,-0.099580078125,-0.718,0
ENSG00000006576,M13-1,0.07084796142578126,-0.8088051,-0.060747070312500005,-0.604,0
