M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000000003	267.66	402.3	406.72	498.94	436.9	351.44	420.31	553.34	399.66	374.09	398.97	363.83	522.89	468.37	484.23	455.8	393.64	418.66	382.69	487.48	456.76	317.24	406.55	415.14	373.19	378.53	360.93	454.65	505.71	424.86	437.72	415.65	476.85	413.1	408.85	440.69
ENSG00000000419	1006.43	1135.23	1182.47	1135.36	1163.85	1079.11	964.01	1319.9	1111.84	1062.55	1057.92	931.25	1111.28	1085.32	1217.95	1096.24	927.2	1071.31	1207.29	1109.42	1179.89	1027.15	1041.34	1021.37	1122.29	1011.23	1176.07	1157.29	1072.48	1062.4	1236.52	1110.47	1025.78	1048.49	1082.74	1168.39
ENSG00000000457	546.71	426.53	373.2	403.83	522.23	399.62	416.08	386.35	402.85	396.03	479.48	350.57	404.14	382.87	383.48	345.85	434.94	402.36	411.09	452.89	416.76	381.83	386.51	405.69	435.62	414.17	468.37	458.45	393.6	416.3	424.59	416.27	437.07	414.61	435.17	417.01
ENSG00000000460	77.12	61.96	65.73	58.75	37.48	39.82	82.25	61.21	60.89	57.46	58.53	67.47	49.21	50.44	79.19	78.48	32.59	61.24	49.31	48.41	63.48	64.16	54.39	59.93	80.91	76.78	53.19	55.76	55.27	49.96	72.15	58.38	56.16	57.69	58.57	57.42
ENSG00000000938	213.92	195.33	142.08	132.59	158.31	143.99	320.64	181.76	249.8	228.79	162.42	184.96	265.86	197.26	225.51	168.16	214.53	124.96	237.34	333.61	153.81	153.21	147.45	190.37	197.34	198.74	406.79	184.4	159.25	189.4	169.43	199.73	330.09	109.19	200.58	210.69
ENSG00000000971	4839.92	5078.12	4781.54	5478.27	6043.04	4062.82	7534.88	3576.35	4374.65	3726.87	4295.93	3631.75	4227.81	6421.52	3290.62	4333.02	4109.21	3954.82	4428.69	5160.51	4519.85	6798.95	5129.12	4388.14	3632.84	5632.04	4564.59	4628.04	5592.36	4269.52	4277.45	4568.38	4299.69	4457.87	4745.2	4739.39
ENSG00000001036	584.16	694.28	606.29	655.78	693.33	589.54	648.14	616.03	625.21	505.13	657.58	594.83	627.76	649.02	616.95	701.6	428.13	601.85	809.33	594.13	604.79	613.39	607.89	654.44	507.12	665.26	662.1	679.26	685.86	627.49	663.7	621.32	518.36	530.82	650.56	621.96
ENSG00000001084	681.98	691.07	687.25	688.73	808.59	788.15	625.6	700.57	795.4	723.32	685.96	757.17	666.83	690.56	551.44	671.14	790.98	671.21	678.42	820.72	675.45	724.24	641.82	766.48	815.58	601.75	829.42	603.3	713.21	733.22	725.32	720.4	773.96	740.54	713.94	770.76
ENSG00000001167	655.55	631.27	698.76	602.37	493.98	609.36	598.8	581.77	676.37	665.68	625.93	737.47	744.2	614.73	641.35	586.52	656.01	624.19	702.57	741.08	594.88	718.41	637.54	674.25	612.14	540.18	709.14	630.92	588.89	665.25	587.08	642.96	666.19	671.24	604.06	546.81
ENSG00000001460	52.01	68.59	57.78	76.86	96.29	85.24	63.98	65.73	86.32	58.35	85.71	50.57	60.1	79.82	34.17	117.13	58.19	32.05	50.16	79.66	54.97	67	92.47	92.25	103.92	65.15	72.03	68.21	70.94	71.77	76.15	69.1	63.71	48.88	70.37	76.31
